,Address,Name Tag,Balance,Txn Count,Label
72,0x0E55c54249F25f70D519b7Fb1c20e3331e7Ba76d,Bitfinex: Contract 2,0 ETH,496,bitfinex
73,0x5dbDEBCaE07Cc958ba5290ff9deaAe554e29e7B4,Bitfinex: Deployer 1,11.08707483 ETH,4,bitfinex
74,0x2EE3B2dF6534abc759ffE994f7b8DcDFAa02cd31,Bitfinex: Deployer 2,0.986238 ETH,7,bitfinex
75,0xe1F3C653248De6894d683cB2f10DE7CA2253046f,Bitfinex: Deployer 3,0.17336492 ETH,"1,890",bitfinex
76,0x2903cadbe271e057edEF157340b52A5898D7424f,Bitfinex: Deployer 4,1.75231945 ETH,60,bitfinex
77,0x36928500Bc1dCd7af6a2B4008875CC336b927D57,Bitfinex: Deployer 5,0.00724325 ETH,144,bitfinex
78,0x14d06788090769F669427B6AEA1c0240d2321f34,Bitfinex: Deployer 6,0.00000218 ETH,633,bitfinex
79,0x77134cbC06cB00b66F4c7e623D5fdBF6777635EC,Bitfinex: Hot Wallet,"54,995.49375941 ETH","132,068",bitfinex
80,0x2AF5D2aD76741191D15Dfe7bF6aC92d4Bd912Ca3,Bitfinex: LEO Token,0 ETH,"47,850",bitfinex
81,0xab7c74abC0C4d48d1bdad5DCB26153FC8780f83E,Bitfinex: MultiSig 1,0.01470426 ETH,530,bitfinex
82,0xC6CDE7C39eB2f0F0095F41570af89eFC2C1Ea828,Bitfinex: MultiSig 2,0.14412363 ETH,"6,471",bitfinex
83,0xC61b9BB3A7a0767E3179713f3A5c7a9aeDCE193C,Bitfinex: MultiSig 3,"408,033.76046368 ETH",118,bitfinex
84,0xcAfB10eE663f465f9d10588AC44eD20eD608C11e,Bitfinex: Old Address 1,0.09138507 ETH,"8,169",bitfinex
85,0x7180EB39A6264938FDB3EfFD7341C4727c382153,Bitfinex: Old Address 2,0.0035395 ETH,"38,271",bitfinex
86,0x69C6Dcc8f83B196605Fa1076897Af0E7e2b6b044,Bitfinex: Old Contract 1,0 ETH,13,bitfinex
87,0x8D5a41e85F4cE2433BeEf476305D307B9205D98D,Bitfinex: Old Contract 2,0 ETH,737,bitfinex
88,0xAbdf147870235FcFC34153828c769A70B3FAe01F,EURT:undefined,0 ETH,134,bitfinex
89,0xC581b735A1688071A1746c968e0798D642EDE491,Euro Tether: EURT Token,0 ETH,"10,200",bitfinex
90,0x4922a015c4407F87432B179bb209e125432E4a2A,Tether Gold: Old XAUt Token,0 ETH,"4,793",bitfinex
91,0x68749665FF8D2d112Fa859AA293F07A622782F38,Tether Gold: XAUt Token,0 ETH,"5,471",bitfinex
92,0x6E109E9dD7Fa1a58BC3eff667e8e41fC3cc07AEF,Tether: CNHT Token,0 ETH,760,bitfinex
93,0xed03Ed872159e199065401b6d0D487d78d9464AA,Tether: MXNt Token,0 ETH,14,bitfinex
94,0x5754284f345afc66a98fbB0a0Afe71e0F007B949,Tether: Treasury,0.59616138 ETH,"3,797",bitfinex
95,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether: USDT Stablecoin,1 wei,"164,569,549",bitfinex
96,0x88D34944cF554e9CCCf4a24292D891f620e9c94F,Bithumb 1,0 ETH,"133,163",bithumb
97,0x186549a4aE594fc1F70bA4CFFDAc714b405bE3F9,Bithumb 10,0 ETH,11,bithumb
98,0xd273Bd546b11Bd60214A2F9d71f22A088AAfe31B,Bithumb 11,0 ETH,9,bithumb
99,0x558553D54183a8542F7832742e7B4Ba9c33Aa1E6,Bithumb 12,"170,000.75408265 ETH",55,bithumb
100,0x3052cD6BF951449A984fe4B5a38B46AEF9455c8E,Bithumb 2,0.02023213 ETH,"207,792",bithumb
101,0x2140eFD7Ba31169c69dfff6CDC66C542f0211825,Bithumb 3,0.0029 ETH,"109,473",bithumb
102,0xA0Ff1e0F30b5DDA2dc01e7e828290Bc72b71E57d,Bithumb 4,0 ETH,22,bithumb
103,0xc1dA8F69e4881efe341600620268934ef01a3E63,Bithumb 5,0 ETH,"1,275",bithumb
104,0xb4460b75254ce0563Bb68eC219208344C7EA838c,Bithumb 6,0 ETH,881,bithumb
105,0x15878e87c685f866edFaF454BE6Dc06Fa517B35B,Bithumb 7,0 ETH,"1,700",bithumb
106,0x31D03f07178BcD74F9099AfeBD23B0AE30184ab5,Bithumb 8,0 ETH,"1,315",bithumb
107,0xed48DC0628789c2956B1E41726d062a86ec45bFF,Bithumb 9,0 ETH,"1,493",bithumb
108,0x3fBE1f8Fc5dDb27d428aA60f661EAAaB0d2000ce,Bithumb: Contract 1,16.59320371 ETH,"83,834",bithumb
109,0x03599A2429871E6be1B154Fb9c24691F9D301865,Bithumb: Deposit Funder,244.18062264 ETH,"693,694",bithumb
110,0xbb5A0408Fa54287B9074A2f47AB54c855e95EF82,Bithumb: Old Address 1,0.0133561 ETH,"29,443",bithumb
111,0x5521a68D4F8253fC44BFb1490249369b3E299A4A,Bithumb: Old Address 2,0.69955324 ETH,"145,921",bithumb
112,0x8FA8aF91C675452200e49b4683a33Ca2E1A34e42,Bithumb: Old Address 3,0.00957999 ETH,"43,387",bithumb
113,0x3B83Cd1a8e516B6Eb9f1Af992E9354b15A6F9672,Bithumb: Old Address 4,0.15244776 ETH,"23,798",bithumb
114,0xEEA81C4416d71CeF071224611359F6F99A4c4294,BitMEX 1,"12,084.17348196 ETH",199,bitmex
115,0xfB8131c260749c7835a08ccBdb64728De432858E,BitMEX 2,"1,741.72444001 ETH","34,185",bitmex
116,0x00BDb5699745f5b860228c8f939ABF1b9Ae374eD,Bitstamp 1,47.86921281 ETH,"1,640,805",bitstamp
117,0x1522900B6daFac587d499a862861C0869Be6E428,Bitstamp 2,"1,205.47282692 ETH","1,607,109",bitstamp
118,0x9A9BED3Eb03E386D66f8a29DC67dC29Bbb1ccB72,Bitstamp 3,0.02 ETH,41,bitstamp
119,0x059799F2261d37b829c2850cEe67b5b975432271,Bitstamp 4,0.38287 ETH,24,bitstamp
120,0x4c766dEf136F59f6494f0969B1355882080CF8E0,Bitstamp 5,"1,950.00057762 ETH",41,bitstamp
121,0xc5b611f502a0DCF6C3188Fd494061aE29B2baa4f,Bitstamp 6,1.5 ETH,17,bitstamp
122,0x964771F6dF31EeA2D927Fa71d7bd78e81bcdce05,Bitstamp: Contract 1,0 ETH,14,bitstamp
123,0x538d72dEd42A76A30f730292Da939e0577f22F57,Bitstamp: Deployer,70.27018437 ETH,"63,091",bitstamp
124,0xfCA70E67b3f93f679992Cd36323eEB5a5370C8e4,Bitstamp: Old Address 1,0.05614274 ETH,66,bitstamp
125,0xFBb1b73C4f0BDa4f67dcA266ce6Ef42f520fBB98,Bittrex,"8,700.66841802 ETH","11,598,672",bittrex
126,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,Bittrex 2,0 ETH,"1,653,546",bittrex
127,0x66f820a414680B5bcda5eECA5dea238543F42054,Bittrex 3,"60,000.02770592 ETH",199,bittrex
128,0xa3C1E324CA1ce40db73eD6026c4A177F099B5770,Bittrex: Controller,0 ETH,"1,586,444",bittrex
129,0x71660c4005BA85c37ccec55d0C4493E66Fe775d3,Coinbase 1,65.42905204 ETH,"1,561,169",coinbase
130,0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43,Coinbase 10,0.00000107 ETH,"2,221,814",coinbase
131,0x77696bb39917C91A0c3908D577d5e322095425cA,Coinbase 11,149.21572043 ETH,"675,598",coinbase
132,0x7c195D981AbFdC3DDecd2ca0Fed0958430488e34,Coinbase 12,84.33320756 ETH,"396,045",coinbase
133,0x95A9bd206aE52C4BA8EecFc93d18EACDd41C88CC,Coinbase 13,147.12878934 ETH,"1,530,232",coinbase
134,0xb739D0895772DBB71A89A3754A160269068f0D45,Coinbase 14,128.06779293 ETH,"780,382",coinbase
135,0x503828976D22510aad0201ac7EC88293211D23Da,Coinbase 2,69.7096304 ETH,"2,099,362",coinbase
136,0xddfAbCdc4D8FfC6d5beaf154f18B778f892A0740,Coinbase 3,327.84358054 ETH,"8,373,026",coinbase
137,0x3cD751E6b0078Be393132286c442345e5DC49699,Coinbase 4,"10,974.83613067 ETH","10,029,660",coinbase
138,0xb5d85CBf7cB3EE0D56b3bB207D5Fc4B82f43F511,Coinbase 5,"17,354.12151377 ETH","9,518,497",coinbase
139,0xeB2629a2734e272Bcc07BDA959863f316F4bD4Cf,Coinbase 6,112.51478291 ETH,"7,806,502",coinbase
140,0xD688AEA8f7d450909AdE10C47FaA95707b0682d9,Coinbase 7,0.00004046 ETH,3,coinbase
141,0x02466E547BFDAb679fC49e96bBfc62B9747D997C,Coinbase 8,0.00003565 ETH,4,coinbase
142,0x6b76F8B1e9E59913BfE758821887311bA1805cAB,Coinbase 9,0 ETH,5,coinbase
143,0xBE3c68821D585Cf1552214897a1c091014B1EB0a,Coinbase: Account Blacklister,0.34428961 ETH,211,coinbase
144,0xf6874c88757721a02f47592140905c4336DfBc61,Coinbase: Coinbase Commerce,0 ETH,"839,273",coinbase
145,0x881D4032abe4188e2237eFCD27aB435E81FC6bb1,Coinbase: Commerce,0 ETH,"1,171,058",coinbase
146,0x6c8dd0e9cC58c07429e065178d88444B60e60b80,Coinbase: Commerce Fee,0.14675241 ETH,"16,932",coinbase
147,0xBc8Ec259E3026aE0D87bc442D034d6882ce4a35C,Coinbase: Commerce Fee 2,0.07134934 ETH,"20,029",coinbase
148,0x02d24cAB4f2c3Bf6e6EB07ea07e45F96baccFfE7,Coinbase: Commerce Fee 3,0.17050783 ETH,"19,767",coinbase
149,0xCe352e98934499be70F641353f16A47D9E1E3aBd,Coinbase: Commerce Fee 4,0.04378215 ETH,"15,040",coinbase
150,0x90E18a6920985DBACc3d76Cf27a3F2131923C720,Coinbase: Commerce Fee 5,0.13800755 ETH,"23,779",coinbase
151,0x4B23d52eFf7C67F5992C2aB6D3f69b13a6a33561,Coinbase: Commerce Fee 6,0.04749492 ETH,"20,709",coinbase
152,0xd2276aF80582CAc230EDC4c42e9a9C096F3C09AA,Coinbase: Deposit 1,0 ETH,6,coinbase
153,0xA090e606E30bD747d4E6245a1517EbE430F0057e,Coinbase: Miscellaneous,0.00042848 ETH,"26,134,933",coinbase
154,0x497bAEF294c11a5f0f5Bea3f2AdB3073DB448B56,Coinbit: DEX Token,0 ETH,"4,212",coinbit
155,0xffF3ada5A2555a2B59BfF4F44DFad90146CcE8CB,Coinbit: DEXTER Token,0 ETH,18,coinbit
156,0x4571f3a386d1bd18E25d70d117e7067FA0Bd9D08,Coinbit: DEXTERG Token,0 ETH,969,coinbit
157,0xF29226914595052a04F5AFbe6410D0C3eD707548,Coinbit: NEXT Token,0 ETH,461,coinbit
158,0x167A9333BF582556f35Bd4d16A7E80E191aa6476,Coinone,"2,712.94554541 ETH","1,035,976",coinone
159,0x1e2FCfd26d36183f1A5d90f0e6296915b02BCb40,Coinone 2,"86,004.88766666 ETH",95,coinone
160,0x7A1BA53C0E2D218DF39E76e4eFBF0455978cc23E,Coinone: Deposit Funder,12.59629077 ETH,"41,811",coinone
161,0x35da6AbcB08F2b6164fE380BB6c47BD8F2304d55,Coinone: Old Address 1,0 ETH,28,coinone
162,0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b,Cronos Coin: CRO Token,0 ETH,"1,469,513",cryptocom
163,0x6262998Ced04146fA42253a5C0AF90CA02dfd2A3,Crypto.com,"109,576.75939316 ETH","1,183,099",cryptocom
164,0x46340b20830761efd32832A74d7169B29FEB9758,Crypto.com 2,"14,705.64153034 ETH","8,912,018",cryptocom
165,0x72A53cDBBcc1b9efa39c834A540550e23463AAcB,Crypto.com 3,"8,846.44514463 ETH","4,075",cryptocom
166,0x7758E507850dA48cd47df1fB5F875c23E3340c50,Crypto.com 4,"6,609.70747631 ETH","116,954",cryptocom
167,0xCFFAd3200574698b78f32232aa9D63eABD290703,Crypto.com 5,"114,028.6929162 ETH","822,912",cryptocom
168,0xB63B606Ac810a52cCa15e44bB630fd42D8d1d83d,Crypto.com: MCO Token,0 ETH,"454,234",cryptocom
169,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,FTX Exchange,0.23432172 ETH,"5,452,989",ftx
170,0xC098B2a3Aa256D2140208C3de6543aAEf5cd3A94,FTX Exchange 2,0.00062639 ETH,"4,106,290",ftx
171,0x68eb95Dc9934E19B86687A10DF8e364423240E94,FTX: 3X Long Bitcoin Token,0 ETH,"48,566",ftx
172,0x871baeD4088b863fd6407159f3672D70CD34837d,FTX: 3X Long Ethereum Token,0 ETH,"34,305",ftx
173,0x016ee7373248a80BDe1fD6bAA001311d233b3CFa,FTX: 3X Short Bitcoin Token,0 ETH,"53,372",ftx
174,0x2f5e2c9002C058c063d21A06B6cabb50950130c8,FTX: 3X Short Ethereum Token,0 ETH,"23,281",ftx
175,0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9,FTX: FTT Token,0 ETH,"373,904",ftx
176,0x0D0707963952f2fBA59dD06f2b425ace40b492Fe,Gate.io,"1,630.99895616 ETH","6,341,972",gateio
177,0x7793cD85c11a924478d358D49b05b37E91B5810F,Gate.io 2,237.90332846 ETH,"11,113",gateio
178,0x1C4b70a3968436B9A0a9cf5205c787eb81Bb558c,Gate.io 3,"20,027.30137425 ETH","38,075",gateio
179,0x234EE9e35f8e9749A002fc42970D570DB716453B,Gate.io 4,0.43406865 ETH,"1,192",gateio
180,0xC882b111A75C0c657fC507C04FbFcD2cC984F071,Gate.io 5,"103,394.39914074 ETH",139,gateio
181,0xD793281182A0e3E023116004778F45c29fc14F19,Gate.io: Contract,"1,828.78872651 ETH",216,gateio
182,0x6596Da8B65995d5feaCfF8c2936f0b7a2051B0D0,Gate.io: Deposit Funder,36.28804441 ETH,"430,039",gateio
183,0xd24400ae8BfEBb18cA49Be86258a3C749cf46853,Gemini,"23,069.68718696 ETH","4,002,243",gemini
184,0x6Fc82a5fe25A5cDb58bc74600A40A69C065263f8,Gemini 2,0 ETH,"324,740",gemini
